"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2025","50,877.0","51,217.0","51,236.0","50,294.0","29.60K","-2.15%"
"01/24/2025","51,996.5","52,366.0","52,386.0","51,944.0","10.50K","-0.84%"
"01/23/2025","52,438.0","52,416.0","52,488.0","52,297.9","6.93K","-0.10%"
"01/22/2025","52,489.0","52,233.0","52,493.0","52,083.0","13.48K","1.03%"
"01/21/2025","51,953.0","51,990.0","52,254.0","51,896.1","8.96K","-0.01%"
"01/20/2025","51,960.0","52,161.0","52,343.0","51,875.5","10.41K","-0.63%"
"01/17/2025","52,287.0","51,836.0","52,317.0","51,750.0","12.71K","1.23%"
"01/16/2025","51,650.0","51,933.0","52,085.0","51,538.0","6.25K","0.44%"
"01/15/2025","51,423.0","50,709.0","51,459.0","50,671.0","7.70K","1.33%"
"01/14/2025","50,750.0","50,909.0","51,228.8","50,649.0","11.61K","0.43%"
"01/13/2025","50,530.5","50,712.0","50,726.4","50,429.6","12.51K","-0.08%"
"01/10/2025","50,573.0","50,971.0","51,078.0","50,407.0","13.93K","-0.61%"
"01/09/2025","50,882.0","51,003.0","51,159.1","50,801.0","4.22K","0.34%"
"01/08/2025","50,709.5","50,426.0","51,485.0","50,286.0","10.31K","0.46%"
"01/07/2025","50,478.0","50,508.0","50,751.0","50,351.0","10.70K","-0.97%"
"01/06/2025","50,971.5","50,727.0","51,946.0","49,669.0","13.94K","0.71%"
"01/03/2025","50,611.0","50,369.0","51,578.0","49,573.0","12.85K","0.08%"
"01/02/2025","50,570.0","50,166.0","51,766.0","49,412.0","9.44K","0.81%"
"12/31/2024","50,164.5","49,868.0","50,196.0","49,850.0","2.00K","0.16%"
"12/30/2024","50,083.0","50,201.0","50,340.0","49,630.0","12.32K","-0.45%"
"12/27/2024","50,311.0","50,971.0","51,053.0","50,143.0","8.48K","-0.44%"
"12/24/2024","50,535.5","50,588.0","50,652.2","50,491.0","1.96K","0.49%"
"12/23/2024","50,287.0","50,330.0","50,365.0","49,988.3","6.49K","0.18%"
"12/20/2024","50,197.0","49,671.0","50,197.0","49,158.0","12.91K","0.51%"
"12/19/2024","49,941.0","49,542.4","49,989.0","49,334.0","13.34K","-1.38%"
"12/18/2024","50,639.0","50,643.0","50,726.0","50,457.8","4.18K","0.30%"
"12/17/2024","50,486.0","50,576.0","50,694.0","50,378.1","7.47K","-0.46%"
"12/16/2024","50,720.0","50,818.0","50,900.0","50,686.0","5.97K","-0.09%"
"12/13/2024","50,767.5","50,931.0","50,986.0","50,697.7","3.68K","0.07%"
"12/12/2024","50,730.0","50,478.0","50,818.0","50,457.0","7.56K","0.30%"
"12/11/2024","50,580.0","50,279.0","50,590.0","50,220.1","7.76K","0.48%"
"12/10/2024","50,339.0","50,356.0","50,496.0","50,266.0","11.15K","0.05%"
"12/09/2024","50,314.0","50,617.0","50,647.0","50,170.0","5.50K","-0.63%"
"12/06/2024","50,633.0","50,444.0","50,757.0","50,365.0","5.95K","0.10%"
"12/05/2024","50,582.0","50,635.4","50,723.3","50,500.0","4.30K","-0.07%"
"12/04/2024","50,618.5","50,628.0","50,860.0","50,400.0","7.63K","0.05%"
"12/03/2024","50,594.5","50,623.0","50,708.0","50,488.5","8.91K","-0.09%"
"12/02/2024","50,640.5","50,408.0","50,757.8","50,204.0","10.15K","0.61%"
"11/29/2024","50,332.0","50,085.0","50,333.0","50,072.3","7.33K","0.11%"
"11/28/2024","50,274.5","50,317.0","50,334.0","50,233.0","5.19K","0.25%"
"11/27/2024","50,150.5","50,638.0","50,648.1","50,100.0","42.42K","-1.12%"
"11/26/2024","50,718.0","50,514.0","50,728.0","50,374.0","10.18K","0.35%"
"11/25/2024","50,539.0","50,499.0","50,658.0","50,383.0","13.04K","0.18%"
"11/22/2024","50,447.0","50,164.0","50,542.0","50,070.1","8.35K","0.94%"
"11/21/2024","49,975.0","49,461.0","49,975.0","49,376.0","13.69K","1.50%"
"11/20/2024","49,237.0","49,486.0","49,620.0","49,052.0","7.33K","-0.29%"
"11/19/2024","49,380.0","49,349.0","49,380.0","48,943.4","11.58K","-0.13%"
"11/18/2024","49,445.0","49,330.0","49,445.0","49,180.4","32.87K","0.28%"
"11/15/2024","49,305.0","49,491.0","49,591.0","49,244.0","35.30K","-1.04%"
"11/14/2024","49,822.5","49,972.0","50,279.9","49,756.3","12.52K","-0.19%"
"11/13/2024","49,916.0","49,645.0","49,917.0","49,554.0","21.38K","0.32%"
"11/12/2024","49,755.0","49,583.0","49,760.0","49,466.0","18.21K","0.62%"
"11/11/2024","49,450.0","49,365.0","49,553.0","49,336.0","16.33K","0.62%"
"11/08/2024","49,144.0","48,845.0","49,144.0","48,699.0","12.87K","1.03%"
"11/07/2024","48,641.5","48,604.0","48,768.0","48,497.4","16.63K","0.30%"
"11/06/2024","48,494.0","48,497.3","48,778.3","48,302.0","22.51K","3.32%"
"11/05/2024","46,935.0","46,679.0","46,935.0","46,556.0","9.51K","0.41%"
"11/04/2024","46,745.0","46,785.0","46,927.0","46,628.0","13.15K","-0.69%"
"11/01/2024","47,070.0","46,953.0","47,107.0","46,794.0","13.74K","-0.09%"
"10/31/2024","47,111.0","47,043.0","47,221.6","46,981.0","17.00K","-0.93%"
"10/30/2024","47,553.0","47,565.0","47,742.0","47,449.0","11.15K","0.14%"
"10/29/2024","47,486.0","47,565.0","47,571.0","47,245.0","19.00K","-0.14%"
"10/28/2024","47,552.5","47,667.0","47,740.0","47,458.3","8.41K","-0.18%"
"10/25/2024","47,638.0","47,478.0","47,761.0","47,431.6","9.62K","0.45%"
"10/24/2024","47,426.0","47,539.0","47,638.0","47,366.0","7.70K","-0.13%"
"10/23/2024","47,488.0","47,708.0","47,770.0","47,462.0","25.58K","-0.32%"
"10/22/2024","47,642.0","47,559.0","47,672.0","47,478.0","9.42K","0.31%"
"10/21/2024","47,496.0","47,602.0","47,716.0","47,454.0","14.91K","-0.11%"
"10/18/2024","47,549.0","47,393.0","47,561.6","47,369.0","9.39K","-0.26%"
"10/17/2024","47,675.0","47,690.0","47,938.6","47,598.8","9.34K","0.58%"
"10/16/2024","47,401.0","47,409.0","47,439.0","47,188.0","11.47K","0.36%"
"10/15/2024","47,229.0","47,529.0","47,571.0","47,188.3","9.62K","-0.39%"
"10/14/2024","47,414.5","47,090.0","47,511.0","47,070.4","9.78K","0.79%"
"10/11/2024","47,045.0","46,876.0","47,081.0","46,703.6","7.42K","0.29%"
"10/10/2024","46,911.0","46,845.0","46,950.0","46,692.3","12.06K","0.29%"
"10/09/2024","46,775.0","46,430.0","46,775.0","46,388.0","4.38K","0.80%"
"10/08/2024","46,405.0","46,091.0","46,411.3","46,032.5","9.14K","0.01%"
"10/07/2024","46,402.0","46,339.0","46,430.0","46,201.0","7.56K","0.63%"
"10/04/2024","46,113.0","45,843.0","46,532.4","45,830.0","12.67K","0.32%"
"10/03/2024","45,968.0","45,825.0","46,144.4","45,669.6","11.54K","0.83%"
"10/02/2024","45,591.0","45,368.0","45,613.5","45,248.0","12.09K","0.36%"
"10/01/2024","45,426.5","45,534.0","45,764.0","45,238.7","21.83K","0.37%"
"09/30/2024","45,258.0","45,286.0","45,543.6","45,066.1","10.87K","-0.29%"
"09/27/2024","45,390.0","45,359.0","45,465.2","45,342.0","9.49K","0.42%"
"09/26/2024","45,202.0","45,700.0","45,757.0","45,202.0","11.01K","-0.37%"
"09/25/2024","45,370.5","45,144.0","45,392.0","45,119.0","11.00K","0.35%"
"09/24/2024","45,213.5","45,383.0","45,410.0","45,029.0","5.01K","-0.20%"
"09/23/2024","45,304.0","45,414.0","45,552.0","45,245.0","13.71K","-0.01%"
"09/20/2024","45,307.0","45,288.0","45,433.5","45,240.0","8.78K","-0.48%"
"09/19/2024","45,524.0","45,370.0","45,720.0","45,323.0","27.76K","0.98%"
"09/18/2024","45,082.0","45,294.0","45,294.0","44,968.0","5.04K","-0.80%"
"09/17/2024","45,447.0","45,162.0","45,489.0","45,133.0","5.88K","1.00%"
"09/16/2024","44,995.0","45,148.0","45,190.6","44,902.3","7.75K","-0.57%"
"09/13/2024","45,251.5","45,079.0","45,268.0","45,054.9","5.66K","0.71%"
"09/12/2024","44,934.0","45,108.0","45,144.0","44,835.3","10.92K","1.88%"
"09/11/2024","44,105.0","44,280.0","44,501.8","43,937.2","6.52K","-0.51%"
"09/10/2024","44,332.0","44,095.0","44,481.0","44,077.3","8.72K","0.58%"
"09/09/2024","44,076.5","43,843.0","44,180.0","43,843.0","11.06K","1.00%"
"09/06/2024","43,639.0","43,988.0","44,268.9","43,574.8","8.15K","-1.04%"
"09/05/2024","44,099.0","44,290.0","45,182.0","44,128.0","7.48K","-0.80%"
"09/04/2024","44,453.5","44,389.0","45,434.0","43,454.0","14.21K","-1.17%"
"09/03/2024","44,977.5","46,342.0","46,342.0","43,994.0","4.18K","-0.96%"
"09/02/2024","45,415.0","45,296.0","45,452.0","45,237.0","11.37K","0.84%"
"08/30/2024","45,038.5","45,028.0","46,109.0","44,909.0","12.90K","-0.39%"
"08/29/2024","45,216.0","44,683.0","46,172.0","44,270.0","8.15K","1.03%"
"08/28/2024","44,753.0","44,887.0","45,732.0","43,990.0","6.07K","-0.26%"
"08/27/2024","44,868.5","45,030.0","45,772.0","44,729.0","7.12K","-0.25%"
"08/23/2024","44,981.5","44,983.0","45,838.0","44,121.0","11.73K","-0.56%"
"08/22/2024","45,235.0","45,380.0","46,259.0","44,492.0","5.74K","-0.27%"
"08/21/2024","45,358.5","45,484.0","45,542.4","45,286.2","7.66K","-0.05%"
"08/20/2024","45,379.5","45,645.0","46,319.0","44,503.0","4.88K","-0.05%"
"08/19/2024","45,401.0","45,130.0","46,223.0","44,367.0","8.10K","0.08%"
"08/16/2024","45,364.0","45,573.0","46,258.0","45,162.0","11.68K","-0.09%"
"08/15/2024","45,404.0","44,928.0","46,296.0","44,828.0","17.89K","1.41%"
"08/14/2024","44,774.5","44,746.0","45,619.0","44,496.0","8.10K","0.68%"
"08/13/2024","44,474.0","44,307.0","44,492.0","43,498.0","7.00K","0.70%"
"08/12/2024","44,164.0","44,144.0","45,187.0","43,462.0","7.80K","0.28%"
"08/09/2024","44,042.0","44,089.0","44,971.0","43,944.6","7.16K","0.27%"
"08/08/2024","43,923.0","43,349.0","44,875.0","42,851.0","11.37K","-0.39%"
"08/07/2024","44,096.0","43,813.0","45,018.0","43,135.0","14.20K","1.24%"
"08/06/2024","43,556.5","44,264.0","44,681.0","42,412.0","27.83K","0.90%"
"08/05/2024","43,169.0","43,099.0","44,025.0","41,390.0","30.09K","-1.45%"
"08/02/2024","43,805.0","44,640.0","45,200.0","43,198.0","20.06K","-3.29%"
"08/01/2024","45,293.5","45,587.0","45,914.0","45,248.0","44.61K","-0.36%"
"07/31/2024","45,458.0","45,121.0","46,306.0","44,444.0","7.47K","1.59%"
"07/30/2024","44,744.5","44,824.0","45,918.0","43,826.0","8.30K","-0.18%"
"07/29/2024","44,824.5","45,899.0","45,915.0","43,880.0","5.86K","0.19%"
"07/26/2024","44,741.0","45,396.0","45,589.0","43,659.0","6.83K","0.13%"
"07/25/2024","44,682.0","44,490.0","45,533.0","43,396.0","10.13K","0.11%"
"07/24/2024","44,634.5","45,190.0","45,211.9","44,634.0","11.98K","-2.17%"
"07/23/2024","45,624.0","45,387.0","45,636.9","45,322.0","5.52K","0.86%"
"07/22/2024","45,234.0","45,120.0","45,458.5","45,056.0","6.27K","0.39%"
"07/19/2024","45,059.5","45,276.0","46,026.0","45,081.0","12.24K","-0.37%"
"07/18/2024","45,225.5","45,620.0","46,148.0","45,192.0","2.71K","-0.54%"
"07/17/2024","45,469.0","45,849.0","45,875.0","45,220.0","9.56K","-1.17%"
"07/16/2024","46,005.0","45,945.0","46,131.5","45,750.0","13.53K","0.10%"
"07/15/2024","45,960.0","45,830.0","46,036.4","45,777.0","6.14K","0.37%"
"07/12/2024","45,792.0","45,726.0","45,943.0","45,486.2","9.38K","0.19%"
"07/11/2024","45,704.5","46,232.0","46,745.0","45,550.0","4.23K","-0.58%"
"07/10/2024","45,970.0","46,037.0","46,092.0","45,931.0","11.91K","-0.20%"
"07/09/2024","46,060.0","46,012.0","46,074.0","45,794.0","6.40K","0.49%"
"07/08/2024","45,835.5","45,823.0","45,854.8","45,766.7","8.60K","0.27%"
"07/05/2024","45,714.0","45,806.0","45,821.0","45,585.0","5.49K","-0.04%"
"07/04/2024","45,730.5","45,841.0","46,719.0","45,702.0","5.50K","0.19%"
"07/03/2024","45,645.0","45,822.0","46,674.0","45,548.0","11.71K","0.06%"
"07/02/2024","45,616.0","45,618.0","46,511.0","42,884.0","5.96K","0.03%"
"07/01/2024","45,602.5","45,577.0","45,633.0","42,884.0","5.76K","-0.68%"
"06/28/2024","45,913.0","45,877.0","46,257.0","43,890.0","4.35K","0.58%"
"06/27/2024","45,650.0","45,667.0","45,759.9","45,602.0","4.59K","0.02%"
"06/26/2024","45,640.0","45,601.0","45,687.0","45,508.0","7.45K","0.39%"
"06/25/2024","45,461.0","45,368.0","45,482.2","42,884.0","7.25K","-0.24%"
"06/24/2024","45,571.0","45,522.0","45,661.0","45,418.0","19.60K","-0.19%"
"06/21/2024","45,658.5","45,674.0","46,560.0","44,779.0","6.63K","-0.16%"
"06/20/2024","45,732.0","45,675.0","45,977.0","45,667.0","9.92K","0.49%"
"06/19/2024","45,510.5","45,532.0","45,557.0","45,474.0","4.04K","0.01%"
"06/18/2024","45,508.0","45,477.0","45,593.0","45,417.7","6.96K","0.60%"
"06/17/2024","45,238.0","45,230.0","45,272.0","45,111.5","8.56K","0.38%"
"06/14/2024","45,066.0","44,982.0","45,202.0","44,773.0","7.23K","0.66%"
"06/13/2024","44,769.0","44,858.0","44,885.0","44,682.0","4.93K","0.25%"
"06/12/2024","44,659.5","44,442.0","44,695.8","44,423.0","20.00K","0.71%"
"06/11/2024","44,342.5","44,467.0","44,467.0","43,574.0","5.50K","0.01%"
"06/10/2024","44,337.0","44,284.0","44,374.0","44,219.0","2.93K","-0.12%"
"06/07/2024","44,390.0","44,187.0","44,986.0","44,000.0","10.93K","0.59%"
"06/06/2024","44,131.0","44,117.0","44,985.0","43,258.0","8.35K","0.34%"
"06/05/2024","43,981.0","43,722.0","44,036.0","43,675.1","11.28K","1.36%"
"06/04/2024","43,391.0","43,515.0","43,570.2","43,351.0","7.79K","-0.11%"
"06/03/2024","43,437.5","43,840.0","44,310.0","42,608.0","16.78K","0.67%"
"05/31/2024","43,147.0","43,384.0","44,209.0","42,254.0","6.58K","-0.63%"
"05/30/2024","43,420.0","43,504.0","44,377.0","42,658.0","4.68K","-0.67%"
"05/29/2024","43,711.0","43,687.0","44,585.0","42,879.0","2.55K","-0.11%"
"05/28/2024","43,760.0","44,051.0","44,708.0","42,995.0","5.61K","-0.24%"
"05/24/2024","43,867.0","43,835.0","43,900.0","43,665.0","9.67K","-0.46%"
"05/23/2024","44,068.0","44,187.0","44,274.0","43,769.0","13.41K","0.09%"
"05/22/2024","44,030.0","43,967.0","44,084.0","43,915.0","11.61K","0.05%"
"05/21/2024","44,007.0","44,876.0","44,890.0","43,116.0","10.20K","-0.31%"
"05/20/2024","44,146.0","44,070.0","44,149.0","44,022.0","5.26K","0.49%"
"05/17/2024","43,932.0","43,219.0","44,944.0","43,219.0","3.65K","-0.69%"
"05/16/2024","44,239.0","44,167.0","44,281.0","44,131.0","5.41K","0.58%"
"05/15/2024","43,985.0","43,926.0","44,871.0","43,127.0","7.32K","0.58%"
"05/14/2024","43,732.0","43,793.0","43,955.4","43,585.0","6.08K","-0.17%"
"05/13/2024","43,807.0","43,949.0","43,984.0","43,779.0","8.56K","-0.23%"
"05/10/2024","43,907.5","44,725.0","44,725.0","43,866.0","7.90K","0.24%"
"05/09/2024","43,802.0","43,702.0","44,667.0","42,928.0","8.84K","0.27%"
"05/08/2024","43,685.5","44,578.0","44,578.0","42,869.0","12.06K","0.27%"
"05/07/2024","43,567.0","43,487.0","43,600.0","43,459.0","25.73K","1.59%"
"05/03/2024","42,886.5","42,616.0","43,743.0","41,774.0","12.64K","1.16%"
"05/02/2024","42,393.0","42,374.0","43,300.0","42,297.0","8.01K","0.15%"
"05/01/2024","42,328.0","43,267.0","43,267.0","41,611.0","4.93K","-0.94%"
"04/30/2024","42,730.0","42,908.0","43,756.0","42,047.0","26.66K","-0.23%"
"04/29/2024","42,827.0","42,099.0","43,774.0","42,099.0","8.80K","-0.56%"
